,Duration,Air Temp F,Wind Spd (mph),Hour,Date
566,930.9706072,82,0,14,5/24/2018
567,1259.699215,81,0,15,5/24/2018
568,1128.087935,82,0,16,5/24/2018
569,935.8649685,81,4.6,17,5/24/2018
570,1076.516378,81,0,18,5/24/2018
571,989.5790456,76,3.5,19,5/24/2018
572,907.6480395,74,3.5,20,5/24/2018
573,823.8594306,74,3.5,21,5/24/2018
574,841.595561,71,5.8,22,5/24/2018
575,879.5099819,70,7.5,23,5/24/2018
576,805.1378709,70,9.2,0,5/25/2018
577,669.4937888,69,4.6,1,5/25/2018
578,821.1878453,69,6.9,2,5/25/2018
579,693.6952381,67,4.6,3,5/25/2018
580,567.5726496,67,5.8,4,5/25/2018
581,661.1345382,66,3.5,5,5/25/2018
582,663.1437951,66,4.6,6,5/25/2018
583,748.3009329,66,3.5,7,5/25/2018
584,810.0367977,68,3.5,8,5/25/2018
585,865.4244116,72,4.7,9,5/25/2018
586,864.2597851,75,5.8,10,5/25/2018
587,1096.278315,79,5.8,11,5/25/2018
588,845.4386955,83,5.8,12,5/25/2018
589,982.0469584,85,3.5,13,5/25/2018
590,1095.468366,85,4.6,14,5/25/2018
591,895.0518662,85,13.8,15,5/25/2018
592,1185.829875,85,16.1,16,5/25/2018
593,1304.213789,84,5.8,17,5/25/2018
594,1246.677966,85,6.9,18,5/25/2018
595,904.349781,84,5.8,19,5/25/2018
596,1033.252654,83,4.6,20,5/25/2018
597,871.5012225,80,5.2,21,5/25/2018
598,940.6214233,79,5.8,22,5/25/2018
599,965.1912422,78,9.2,23,5/25/2018
600,1999.028571,78,8.1,0,5/26/2018
601,1666.90389,76,6.9,1,5/26/2018
602,837.9250936,75,3.5,2,5/26/2018
603,776.5609756,74,5.8,3,5/26/2018
604,620.5963303,73,6.9,4,5/26/2018
605,1409.408696,73,5.2,5,5/26/2018
606,782.1803797,73,3.5,6,5/26/2018
607,740.0713246,73,4,7,5/26/2018
608,816.4247517,73,4.6,8,5/26/2018
609,888.3927856,76,0,9,5/26/2018
610,1065.856815,81,0,10,5/26/2018
611,1082.579695,83,4.6,11,5/26/2018
612,1364.985628,85,0,12,5/26/2018
613,1170.75031,88,0,13,5/26/2018
614,1395.476548,89,0,14,5/26/2018
615,1127.357218,87,3.5,15,5/26/2018
616,1289.465889,87,4.6,16,5/26/2018
617,1739.158278,85,3.5,17,5/26/2018
618,1494.539549,87,0,18,5/26/2018
619,1083.507228,84,0,19,5/26/2018
620,2704.152128,80,0,20,5/26/2018
621,1169.738636,80,0,21,5/26/2018
622,968.3501401,78,0,22,5/26/2018
623,933.6974249,80,0,23,5/26/2018
624,1652.125,79,0,0,5/27/2018
625,1393.955729,79,3.5,1,5/27/2018
626,3960.34375,80,0,2,5/27/2018
